CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.44144,95,29.14,0,0.56,8.73,77.8,1.8078,24,404.4,13.5,315.67,20.82,39.2
0.03305,43,9.18,1,0.65,6.01,58.3,7.249,2,296.3,27.3,361.61,36.41,9.0
0.3324,91,6.82,1,0.6,8.28,37.7,2.3993,11,208.6,17.4,66.28,35.92,45.0
1.89701,13,2.05,0,0.68,4.53,94.9,5.9552,15,464.1,12.1,111.59,18.78,44.2
1.04578,78,12.89,0,0.48,6.06,50.3,5.5556,19,179.2,14.4,189.09,27.62,12.3
0.20636,55,24.26,0,0.43,6.72,86.2,7.1008,10,613.5,17.6,45.15,27.43,48.5
1.62946,5,9.59,0,0.46,7.0,44.2,6.053,23,116.7,23.0,154.62,12.56,20.3
0.13179,23,23.41,0,0.46,8.47,1.5,5.8798,9,607.2,22.5,120.84,7.37,45.0
1.4911,42,23.22,1,0.57,5.6,60.2,5.6038,3,231.5,28.5,368.79,23.18,8.3
1.41832,49,28.1,0,0.55,4.66,80.2,8.0081,20,392.7,16.3,79.41,2.41,11.5
0.80273,75,7.7,0,0.58,6.36,28.4,3.4176,19,538.3,17.9,288.48,33.09,24.9
0.49773,56,17.55,1,0.46,4.45,70.6,2.4485,4,570.5,15.7,86.36,30.66,7.1
1.03688,43,27.88,1,0.47,8.22,46.3,1.1135,9,341.1,12.3,250.26,28.64,17.1
0.17338,24,7.05,0,0.42,6.64,35.4,2.1869,11,399.7,29.2,232.8,37.2,31.9
0.94505,81,4.04,0,0.41,5.14,6.0,6.8057,1,117.7,11.9,183.49,38.36,10.9
0.48101,21,11.41,0,0.51,4.65,35.6,7.4895,20,306.4,19.5,326.76,19.22,10.6
0.00666,94,27.31,1,0.62,6.96,80.9,6.6663,23,256.9,21.4,89.09,27.32,23.1
0.21327,18,22.49,1,0.61,7.76,79.6,1.6176,22,334.0,24.0,190.91,39.01,9.6
0.08017,63,1.12,0,0.6,5.94,84.2,7.9534,11,280.5,15.4,392.97,34.28,34.4
2.00397,89,23.2,1,0.41,7.9,79.9,5.6461,10,195.8,20.3,73.3,26.51,40.6
0.3254,29,13.55,0,0.68,7.37,76.7,3.1607,19,665.0,17.8,218.17,18.14,26.3
0.34397,37,19.99,1,0.5,4.25,83.4,6.2792,17,357.6,11.9,117.24,29.96,7.9
0.51009,49,21.31,1,0.53,7.6,82.0,4.7433,11,482.7,12.4,49.52,3.28,32.6
0.2299,40,16.59,0,0.64,6.87,22.1,7.2762,12,656.1,18.1,340.64,1.9,15.8
0.07361,95,20.9,0,0.43,8.59,70.7,5.4612,24,443.5,10.1,231.07,30.39,22.1
0.86332,11,19.06,1,0.45,4.47,99.6,1.3238,22,176.2,10.5,231.53,6.05,13.7
0.10527,56,20.44,0,0.5,4.88,14.5,6.8016,23,573.1,11.1,218.13,32.66,33.8
0.35802,63,3.12,1,0.65,7.32,73.5,7.4025,24,564.8,25.3,73.79,16.38,41.9
0.12701,14,22.72,1,0.61,8.27,92.2,6.8236,14,342.8,27.8,227.45,38.11,43.6
0.05148,32,14.73,0,0.51,5.04,65.2,9.2321,15,423.6,28.1,36.56,3.5,39.7
0.99095,65,5.66,1,0.68,8.74,34.2,3.998,15,354.9,10.2,273.06,20.61,29.6
1.80447,65,9.35,1,0.64,8.44,67.2,3.0523,1,234.5,23.1,20.58,11.52,30.0
1.61998,36,18.62,1,0.4,4.49,92.8,5.5925,9,557.8,15.7,75.66,4.94,14.1
1.18519,25,28.92,0,0.54,8.73,93.5,8.2616,10,546.7,11.4,117.69,22.1,5.7
0.74371,76,5.64,1,0.53,5.21,86.6,7.1812,1,488.2,12.1,111.57,1.25,30.2
0.20259,72,26.86,0,0.47,7.13,55.7,4.8228,23,373.4,11.3,324.84,9.2,36.4
0.04229,50,19.4,0,0.48,7.48,57.2,2.5081,24,378.9,21.0,115.1,18.62,22.8
0.26148,12,14.92,1,0.6,5.65,95.9,2.5217,5,279.1,16.1,29.58,14.5,33.9
0.13214,24,11.11,0,0.47,4.31,66.2,4.9308,14,259.4,13.3,27.19,34.66,19.6
0.07106,19,4.62,0,0.62,7.39,2.0,9.0762,22,609.4,12.9,59.77,12.15,20.9
0.02745,67,3.62,0,0.54,4.61,27.7,4.8258,16,615.6,26.8,157.68,13.56,22.1
0.64657,10,3.93,1,0.42,4.15,39.1,9.4136,9,109.2,10.5,78.73,36.52,43.1
0.00575,7,6.84,0,0.52,7.74,48.7,5.2163,2,531.8,19.9,94.01,7.69,14.2
0.7361,52,25.58,0,0.64,4.55,30.4,1.3304,15,298.0,11.5,73.59,25.36,48.6
0.07947,92,7.35,1,0.44,8.06,21.4,3.3512,13,651.6,12.9,119.49,16.44,16.7
0.04143,14,10.69,0,0.55,8.95,71.1,1.1073,2,245.3,19.3,201.94,3.54,27.1
0.04694,72,27.96,0,0.46,6.02,16.9,2.7899,9,301.2,14.1,388.54,32.08,16.6
0.55744,46,14.41,0,0.68,7.23,9.1,5.147,5,548.4,22.7,316.8,39.93,26.5
0.14076,99,17.76,1,0.56,8.65,41.0,5.2729,4,144.5,17.6,69.01,17.48,23.0
0.27283,35,24.86,0,0.45,8.58,81.1,9.9164,16,524.8,25.7,321.14,24.33,21.9
0.40751,81,4.29,0,0.57,5.56,76.0,2.254,7,504.8,23.2,284.04,33.65,18.5
0.98503,23,16.01,0,0.69,4.14,23.6,6.2812,16,282.4,29.6,362.32,31.64,6.0
0.64922,61,2.96,1,0.65,5.44,26.7,2.0093,15,527.7,17.1,173.88,20.7,41.3
0.15758,53,16.28,1,0.5,4.93,98.7,4.1749,19,641.8,18.9,346.84,12.08,25.3
0.07048,12,17.83,1,0.62,5.78,7.4,6.9173,6,582.4,23.4,279.24,10.82,16.7
0.02848,45,16.38,0,0.61,5.42,7.9,6.1286,8,410.7,18.4,109.24,34.9,13.5
0.17948,7,10.93,1,0.62,8.22,9.1,3.9755,10,179.5,14.8,155.91,3.99,12.1
0.15199,47,25.45,0,0.55,6.62,32.4,7.0406,12,635.4,10.1,335.39,24.02,47.7
0.30453,39,9.29,0,0.68,4.65,76.4,7.158,18,393.8,15.5,323.08,20.08,31.9
0.57487,94,22.92,1,0.51,5.93,89.1,2.9401,2,344.7,27.3,98.2,20.18,16.8
0.59475,19,13.45,0,0.69,7.33,93.2,4.5486,24,428.7,21.8,334.51,32.39,16.8
0.1667,50,24.16,0,0.44,8.41,25.2,4.6432,14,228.1,10.1,378.3,6.93,49.7
0.23896,65,23.75,0,0.68,6.31,46.0,8.9295,20,301.7,25.8,351.11,39.55,34.0
0.09993,43,24.63,0,0.63,8.59,9.4,6.8543,21,541.3,10.3,152.52,13.27,12.3
0.77687,82,20.73,1,0.69,7.98,55.6,7.2995,14,438.1,29.1,216.46,33.21,40.9
0.02926,78,22.74,0,0.57,4.38,0.7,2.5674,8,557.4,20.3,338.38,7.5,24.7
0.59701,89,23.39,0,0.68,8.06,46.0,9.8859,16,557.2,28.2,286.56,30.62,35.1
0.75411,56,22.54,0,0.45,4.46,98.0,3.7832,20,552.1,27.7,283.64,27.35,31.5
0.75121,72,11.76,0,0.41,8.58,14.0,5.5698,20,186.5,27.7,114.1,32.01,11.4
0.15016,50,5.92,0,0.61,7.59,21.1,1.9844,20,490.1,17.5,244.32,39.97,10.5
0.23405,34,29.1,0,0.66,5.16,27.8,3.2249,3,388.1,13.7,21.78,27.65,39.0
0.44288,90,7.69,1,0.67,4.85,86.7,2.5075,12,137.3,17.0,118.86,21.12,15.8
0.15929,11,29.41,0,0.42,6.3,89.0,8.0257,22,601.0,12.7,81.12,28.25,37.1
0.2317,11,3.07,0,0.51,7.25,94.5,9.3404,5,231.8,26.7,154.81,30.58,6.0
0.10973,36,24.81,0,0.53,5.02,24.8,7.0963,19,107.8,21.4,295.29,18.96,48.9
0.30796,49,6.35,0,0.68,8.79,45.3,8.1395,21,486.1,15.0,104.22,9.93,27.5
0.02282,76,24.93,1,0.49,4.74,38.2,2.478,1,203.3,26.4,71.57,9.51,24.3
0.80421,81,2.08,1,0.61,8.3,59.6,4.9599,24,137.0,19.2,336.81,1.85,40.8
0.04004,95,26.0,1,0.47,5.31,29.6,1.9271,11,660.3,10.2,366.04,30.58,23.5
0.36577,74,12.55,0,0.58,4.23,82.9,9.3184,18,189.1,13.1,178.49,14.63,35.9
0.18323,48,27.74,1,0.43,7.02,90.6,7.1757,12,412.0,18.4,97.8,30.59,6.1
0.43083,74,19.27,0,0.63,6.18,90.0,1.909,13,320.4,11.6,100.95,6.08,46.3
1.6024,11,15.49,0,0.41,5.52,26.3,7.6417,22,126.8,22.9,166.47,27.22,29.7
0.51862,93,17.02,1,0.7,5.6,48.4,3.7308,19,288.6,13.9,320.98,2.68,37.8
0.018,34,16.09,0,0.64,7.39,53.8,9.2832,9,310.3,21.9,224.59,24.16,47.4
0.28141,74,4.1,0,0.58,6.36,97.0,1.5728,6,396.1,10.2,230.93,2.01,23.9
0.35669,76,20.15,0,0.63,6.48,43.8,3.8021,6,524.0,12.9,391.26,28.2,9.7
0.38413,39,5.36,1,0.4,4.26,7.0,8.6729,6,700.0,16.5,31.07,31.89,6.5
0.5719,10,25.15,0,0.53,7.5,64.3,1.9298,18,411.1,11.8,190.01,17.08,26.3
0.16259,2,1.89,0,0.58,6.58,17.4,3.4644,11,665.7,29.7,191.76,14.89,30.9
0.06898,75,28.63,0,0.69,7.98,36.5,2.5725,16,416.5,14.6,221.59,10.05,20.8
0.24935,46,4.47,1,0.51,6.72,51.8,9.0327,1,456.2,28.0,67.18,34.3,27.0
1.56641,51,4.66,0,0.69,5.29,96.3,5.3188,21,183.4,23.7,67.57,19.23,10.7
0.10359,41,2.1,1,0.55,4.63,16.0,8.7044,16,442.5,29.2,166.18,30.49,12.3
1.17162,91,4.49,1,0.42,6.56,85.2,3.938,20,256.3,28.2,242.49,25.17,45.7
0.39242,3,17.22,0,0.58,8.77,1.9,7.0214,21,264.4,27.6,121.12,6.69,13.0
0.30524,16,10.71,1,0.65,4.91,4.8,1.9057,20,360.3,21.6,199.01,7.64,29.2
1.06871,63,28.02,1,0.67,6.99,47.9,4.8734,14,492.2,29.3,394.7,11.23,19.8
0.3068,64,10.99,1,0.56,6.88,57.2,3.3205,11,470.4,13.6,12.17,34.47,47.7
0.64398,13,27.78,0,0.53,5.38,18.9,3.4455,19,283.8,19.1,186.35,13.63,9.4
0.2546,38,1.76,1,0.59,7.99,18.5,2.0726,10,117.3,25.6,189.56,35.67,15.4
1.17193,4,6.6,0,0.42,7.49,72.0,4.4948,13,246.4,19.7,276.72,25.56,18.5
0.58563,3,25.28,1,0.68,6.55,30.8,2.5532,14,371.7,29.9,106.56,28.62,21.3
0.60136,19,4.91,1,0.47,7.12,71.0,7.1489,9,645.7,24.7,319.97,11.94,9.3
0.19854,81,7.81,0,0.59,7.23,51.7,5.6565,23,466.2,14.1,160.4,2.88,12.0
0.70689,16,11.14,1,0.58,8.8,36.7,5.125,24,626.5,26.2,38.06,18.7,44.0
0.50538,71,17.53,1,0.62,5.01,4.6,8.8661,3,456.4,27.7,252.02,25.98,26.6
0.13723,24,11.77,0,0.66,6.75,97.3,2.6677,4,365.9,20.8,10.56,14.07,12.2
0.0875,11,8.05,1,0.48,8.21,38.0,7.2929,7,297.1,29.8,286.72,38.16,46.3
0.79578,22,14.61,1,0.46,4.6,79.0,2.6664,15,682.1,20.7,4.86,25.91,37.6
1.59913,60,15.96,1,0.62,8.95,33.7,6.6569,18,386.9,25.5,238.67,39.75,16.4
0.30637,91,28.87,0,0.46,7.8,89.8,1.3517,10,315.5,16.5,348.36,32.25,44.4
0.447,2,20.28,1,0.69,5.24,7.2,1.3095,18,644.6,14.8,279.36,20.9,38.2
0.97499,8,5.77,0,0.46,8.87,28.1,4.7264,21,587.1,25.7,249.74,7.41,49.8
0.30553,72,22.84,0,0.56,5.14,52.6,9.9388,24,453.2,13.9,172.72,26.35,8.5
1.51697,89,29.43,1,0.6,8.31,61.3,2.3274,10,439.6,15.7,134.48,6.9,32.9
0.42872,38,4.52,1,0.45,5.23,64.3,7.7791,8,398.4,17.4,148.12,16.82,16.7
0.85953,52,4.87,1,0.52,8.09,39.2,6.1648,15,157.8,22.5,150.01,20.25,11.9
1.19759,97,3.44,1,0.63,5.63,62.8,3.527,22,512.5,16.8,211.95,20.29,18.0
0.84512,88,8.72,1,0.49,8.98,86.6,7.9134,1,325.3,16.4,57.33,10.67,37.7
0.08683,63,20.88,0,0.5,8.07,83.8,3.6584,3,110.2,18.9,352.75,1.9,33.3
0.49564,21,9.98,1,0.46,5.27,25.2,2.5186,18,535.6,19.0,250.35,22.58,19.1
0.25411,4,2.86,1,0.63,7.81,4.2,2.747,19,177.6,10.4,149.77,18.62,9.7
0.03238,31,18.9,0,0.47,6.87,24.0,2.6952,4,578.7,16.3,392.88,3.49,10.6
0.27585,75,23.25,1,0.48,5.16,82.0,7.8271,5,255.7,19.4,349.01,21.19,32.5
0.14966,37,12.15,0,0.55,4.58,65.9,5.7561,23,451.8,14.7,242.73,5.49,26.4
0.94536,7,20.0,1,0.46,6.22,12.5,6.8821,16,441.9,19.5,148.7,39.68,21.7
0.01694,22,17.67,0,0.47,4.83,16.4,9.0489,9,206.1,21.4,147.64,29.86,9.4
1.59688,42,19.31,0,0.68,8.21,26.5,2.5141,2,363.4,26.8,26.68,15.19,27.2
0.21954,59,12.66,0,0.64,5.61,85.4,4.8012,6,591.4,25.5,137.01,33.75,16.9
0.22058,95,14.31,1,0.48,4.79,39.8,7.1208,18,683.2,15.1,98.27,4.99,44.3
0.00823,54,24.45,1,0.61,7.61,34.0,4.1481,15,110.9,12.6,243.42,35.23,36.2
0.10243,73,17.61,1,0.51,5.21,22.6,6.9545,4,188.0,10.0,288.07,26.7,23.8
0.25646,51,2.83,0,0.53,7.43,67.4,4.2376,1,470.5,18.0,116.97,4.18,46.4
1.32459,82,0.9,0,0.61,6.0,96.8,2.6084,17,101.5,27.1,218.46,18.06,30.2
0.05247,23,15.34,0,0.64,5.95,7.9,5.8063,6,554.8,13.2,314.83,24.27,42.3
1.45296,83,16.34,0,0.48,4.52,50.3,1.1384,5,449.8,15.7,256.76,25.33,31.7
1.01815,25,24.49,0,0.45,4.01,90.3,4.4657,20,503.7,20.9,297.46,29.74,47.4
0.30272,57,21.91,0,0.53,8.73,26.8,7.1683,17,474.5,21.9,87.23,26.71,9.0
0.19778,69,6.76,1,0.48,4.04,33.9,3.3795,13,459.4,20.9,254.02,26.1,40.0
0.13247,89,23.81,0,0.64,7.71,49.3,7.5355,24,161.4,10.1,109.51,33.0,6.9
0.47656,45,18.87,0,0.45,7.41,14.0,5.4376,22,241.1,25.4,92.3,1.8,9.8
0.01682,88,7.0,1,0.5,6.11,80.4,3.59,14,378.4,28.0,108.37,38.43,41.4
0.00786,51,15.48,1,0.46,6.7,25.2,4.8822,13,300.6,15.1,146.61,17.78,37.7
0.28,59,7.2,1,0.41,6.16,5.9,1.5906,23,569.8,12.7,188.38,12.09,31.8
0.03525,44,21.65,1,0.58,7.42,66.5,5.3335,24,505.2,25.4,91.7,20.1,46.2
0.14514,26,9.06,1,0.63,7.61,54.5,4.6865,24,286.9,24.6,139.99,37.67,22.8
0.12498,43,14.9,1,0.65,5.41,93.0,5.1501,24,670.7,25.9,358.6,36.84,5.2
0.14597,32,26.95,0,0.61,8.25,78.3,1.9189,23,486.5,28.4,53.85,32.89,8.2
0.07024,30,29.62,1,0.63,6.6,3.6,1.2483,19,608.0,10.9,86.29,9.71,37.6
0.00605,14,28.74,1,0.53,8.22,53.0,2.1832,13,642.8,20.7,24.28,12.15,16.7
0.06136,71,23.11,0,0.43,8.66,86.8,3.7926,13,218.6,25.8,283.55,33.33,31.3
0.4818,96,4.09,0,0.48,6.49,1.8,1.9723,7,338.6,20.0,211.76,26.44,24.8
1.82978,61,14.04,1,0.57,7.81,37.3,7.9059,15,136.6,21.0,189.73,10.59,15.4
2.32014,1,29.05,0,0.68,6.74,83.3,8.7707,12,188.7,21.3,13.77,34.9,38.5
0.26302,47,10.59,0,0.6,6.11,24.9,6.2439,14,452.5,10.2,384.54,36.26,6.4
0.08894,43,4.78,1,0.46,5.96,1.2,6.6514,1,410.3,28.1,337.63,25.76,35.9
0.50911,90,5.74,0,0.54,6.92,34.1,9.6403,16,362.5,14.2,328.15,39.4,38.7
0.33697,15,16.48,0,0.65,5.91,3.5,5.9628,17,530.2,10.5,350.09,22.51,8.8
2.27391,68,0.65,1,0.43,7.98,91.6,8.8182,9,259.5,22.7,310.81,34.47,17.6
0.03377,74,23.11,1,0.42,5.04,85.3,7.5456,2,348.7,21.2,55.78,12.83,46.6
0.76447,85,11.78,1,0.68,5.36,42.2,5.988,10,662.9,12.6,388.6,38.13,25.9
0.17012,39,6.7,1,0.66,6.69,40.8,5.603,12,440.3,30.0,373.49,15.12,31.2
0.13815,94,8.75,0,0.53,5.5,97.9,1.2686,12,508.9,17.8,278.43,4.88,39.8
0.5431,86,24.09,0,0.62,7.54,48.9,3.6777,24,547.3,15.3,116.8,7.05,43.5
0.14122,0,1.12,1,0.64,6.67,43.7,3.1347,11,368.0,12.0,0.44,25.7,9.6
0.5481,81,23.14,0,0.5,4.43,40.0,3.6324,22,358.5,20.7,194.34,30.53,29.0
0.36419,58,22.87,0,0.53,7.79,31.8,6.9944,14,382.1,13.3,237.92,3.13,14.3
0.2759,12,2.45,0,0.66,5.1,34.3,5.6445,2,617.2,12.9,397.59,19.31,36.2
0.40449,91,24.93,1,0.4,8.72,44.4,4.6404,13,318.2,24.6,53.17,31.58,47.5
0.16917,43,5.16,1,0.5,6.19,92.4,6.8774,10,631.2,11.3,35.53,21.55,7.1
0.61307,54,4.09,0,0.69,7.7,87.8,2.6143,14,124.6,24.3,170.53,17.34,34.1
0.26795,47,4.99,0,0.54,7.93,76.3,3.1283,4,251.7,11.4,300.38,7.9,33.9
0.22357,22,0.08,0,0.52,7.04,78.4,5.3315,3,638.4,17.9,136.03,5.43,23.7
0.88204,31,16.0,0,0.41,5.2,42.4,7.3519,6,659.7,12.5,264.94,13.99,33.2
1.29491,34,11.07,1,0.62,4.72,58.3,1.9824,24,224.6,29.7,355.78,12.11,22.5
0.02355,98,4.3,0,0.68,7.65,89.7,8.6143,11,230.3,14.7,317.26,15.34,49.4
0.13239,42,26.06,0,0.61,5.24,33.1,7.8159,12,552.5,17.3,40.64,3.97,26.6
0.21425,68,15.19,1,0.6,5.39,39.7,6.7804,22,316.9,14.2,178.43,9.81,42.1
0.84361,62,10.46,0,0.68,7.22,26.5,4.9864,12,223.4,20.9,15.2,21.1,46.8
2.11651,36,15.98,0,0.45,8.93,4.5,8.3283,3,236.3,28.4,67.46,39.67,38.4
1.73643,83,24.28,0,0.43,6.63,1.6,4.4238,7,282.5,19.7,308.28,17.21,35.4
1.17667,44,5.13,0,0.61,5.7,27.2,2.7861,12,599.8,24.8,69.64,17.11,36.7
0.17588,81,25.97,1,0.42,4.17,94.1,2.7786,15,373.8,17.1,223.53,12.08,10.8
2.41486,70,17.56,0,0.67,8.08,32.4,9.2146,2,176.3,15.6,245.99,22.75,17.2
0.14345,6,18.47,1,0.61,7.38,88.9,6.3413,11,322.9,12.0,62.65,34.53,25.6
0.05597,48,17.66,0,0.63,7.71,11.8,3.1692,5,293.9,29.4,365.93,27.11,24.1
1.50748,9,6.64,1,0.67,4.64,67.5,3.0896,15,145.7,17.6,23.4,39.95,12.3
0.13291,28,5.54,0,0.42,7.02,32.9,5.3178,24,594.0,27.5,367.69,37.87,19.5
0.58522,77,14.32,1,0.5,4.66,89.2,6.0397,14,538.8,22.4,45.52,33.89,37.2
0.03006,56,10.69,0,0.57,4.51,69.8,9.0695,10,361.3,23.6,360.35,2.63,7.4
0.65598,9,7.23,0,0.66,7.7,34.2,3.301,8,520.9,19.1,147.16,30.44,33.5
1.06735,85,17.44,0,0.57,8.01,48.8,6.9412,13,303.2,16.5,315.94,25.02,21.4
0.15903,66,25.69,0,0.57,6.74,23.5,7.5351,4,661.5,19.5,157.7,30.09,47.1
0.23826,9,16.71,0,0.57,4.7,3.0,8.9381,8,400.5,25.3,293.26,39.12,18.0
0.23444,36,27.2,1,0.6,7.75,6.5,8.8777,8,166.7,28.2,340.96,9.6,48.6
0.69073,28,21.5,1,0.62,4.54,81.2,6.1431,21,385.1,19.9,210.18,15.09,43.4
0.13578,64,27.01,1,0.61,6.92,74.0,3.9383,2,316.1,20.6,160.86,22.55,14.5
0.09428,74,6.05,1,0.44,7.67,66.6,3.6035,19,120.5,24.6,157.85,14.11,45.4
0.29827,13,17.62,0,0.7,7.57,91.3,7.1923,17,309.8,29.2,22.64,34.72,19.0
0.18154,2,10.64,0,0.66,7.56,25.2,8.1801,10,685.8,23.2,5.93,22.16,24.9
0.91376,37,22.31,1,0.54,4.19,1.8,4.7018,15,255.8,27.0,297.43,1.2,24.5
0.13573,71,13.5,0,0.59,8.51,91.5,7.5175,14,534.4,18.1,166.16,36.53,12.3
0.34897,87,12.37,1,0.48,6.41,98.7,1.8549,11,192.5,13.6,60.44,21.37,28.0
1.42871,94,4.29,0,0.65,4.69,16.7,2.0953,2,201.6,24.1,348.61,27.76,7.3
0.50256,81,10.64,0,0.58,6.49,66.2,4.7448,7,277.9,14.9,255.11,20.84,48.6
1.00979,3,20.03,1,0.48,6.48,10.1,7.5164,9,108.8,27.7,189.8,24.95,24.0
1.40846,98,15.26,0,0.65,7.55,5.5,9.234,7,390.2,11.6,142.79,39.26,42.5
0.69468,80,15.57,0,0.43,5.2,36.3,7.0508,9,681.9,19.5,137.9,18.23,18.8
0.60128,82,19.44,0,0.48,5.33,10.1,2.6152,22,268.9,18.7,148.57,28.22,17.9
1.72047,50,8.28,1,0.5,4.39,11.1,4.7807,18,501.9,27.2,354.62,34.52,32.2
2.59256,61,6.62,0,0.44,4.57,49.4,3.459,18,606.6,29.4,151.44,5.08,39.7
0.30058,82,29.03,1,0.54,6.09,53.0,1.6069,24,663.7,29.1,7.73,23.67,19.8
0.03675,28,4.13,1,0.63,6.69,39.4,8.4321,16,115.2,11.1,57.97,18.88,38.1
0.17322,35,2.43,1,0.52,8.5,66.5,4.0918,12,607.1,29.8,138.48,39.69,9.8
0.08265,53,21.11,1,0.61,7.53,98.7,5.659,15,148.8,23.4,66.54,37.54,8.3
0.2702,26,19.41,1,0.46,8.95,84.2,6.1902,19,288.0,15.0,329.19,8.26,9.0
0.07037,42,11.13,0,0.65,6.97,76.4,9.2867,24,545.6,17.5,399.49,4.81,17.7
0.46332,46,2.3,0,0.45,8.69,41.6,1.9028,3,320.9,27.8,133.67,18.69,28.5
0.24129,69,8.39,0,0.61,8.27,33.0,9.7518,6,133.9,28.3,194.07,1.75,18.5
1.12874,28,1.87,0,0.48,4.14,57.1,5.0142,15,545.9,12.4,19.05,20.38,18.5
1.71781,43,29.67,0,0.65,7.98,30.8,5.6758,24,434.1,12.9,77.79,29.8,27.6
0.3958,83,20.86,1,0.69,5.12,17.0,9.9232,16,379.2,10.9,91.62,35.45,6.9
0.16067,62,12.96,0,0.63,8.74,86.8,2.5818,8,348.1,17.9,154.99,38.57,42.4
0.44853,74,27.59,0,0.42,4.6,12.1,7.6175,19,476.9,16.9,330.57,36.76,30.6
1.13536,74,16.96,1,0.41,5.03,98.4,7.1475,7,650.2,23.5,159.68,36.64,10.3
0.26106,9,21.34,0,0.41,5.52,25.9,3.0175,23,352.3,13.2,296.57,14.06,49.0
0.40157,91,15.2,1,0.68,4.02,73.7,9.6963,21,332.6,25.9,211.44,16.08,18.0
0.15849,99,24.79,1,0.45,4.07,6.1,1.3292,18,316.8,21.6,265.46,32.75,15.5
0.30389,75,29.47,0,0.66,7.19,80.3,6.9454,3,219.5,12.2,78.89,19.22,44.0
0.25684,96,12.36,0,0.62,4.28,51.6,8.8619,9,599.7,27.9,15.52,6.87,38.7
0.14278,38,4.42,0,0.6,4.51,96.8,4.6032,1,238.1,27.0,98.67,18.72,27.2
0.35247,31,12.06,1,0.41,6.17,49.2,4.9892,20,432.6,25.1,40.49,15.43,44.5
0.18581,22,23.93,1,0.57,7.8,77.8,1.5917,7,568.8,19.6,281.07,4.33,25.8
0.23343,91,0.01,1,0.69,5.76,23.3,3.3696,6,115.5,22.2,227.69,14.67,6.2
0.37219,57,28.64,0,0.59,8.43,34.8,7.4494,4,402.1,14.0,317.48,38.41,37.5
0.69434,21,19.88,1,0.49,4.89,78.9,9.8407,7,341.3,25.2,161.04,37.13,16.9
0.20286,97,9.32,1,0.63,5.12,87.3,4.1052,21,143.7,23.9,104.2,38.8,19.5
1.28956,61,14.69,0,0.55,4.22,10.6,2.3332,11,591.2,26.0,344.42,23.3,46.8
0.99141,41,7.92,0,0.44,8.03,69.1,1.8361,2,341.8,28.8,226.21,5.13,33.0
0.02496,99,13.08,1,0.66,7.84,98.0,2.6233,8,323.6,27.8,189.16,9.85,39.4
0.14628,41,19.15,0,0.64,8.64,94.7,1.9994,22,504.1,27.9,356.54,8.27,29.0
0.29542,23,20.22,1,0.41,8.29,36.4,8.4686,14,366.1,18.6,139.13,8.36,31.6
0.05526,52,9.68,1,0.41,4.03,29.9,4.4508,6,323.3,25.8,163.56,35.65,39.5
0.21422,23,0.69,1,0.46,7.17,13.5,4.5814,12,437.5,29.4,102.98,8.96,47.6
0.67372,72,11.32,0,0.66,5.07,98.7,8.5929,23,316.7,15.3,53.08,15.78,36.9
0.57052,41,11.26,0,0.46,4.28,76.9,7.6783,24,552.2,25.3,228.36,4.63,6.3
0.48694,60,12.36,1,0.68,8.9,62.6,5.7425,23,555.0,14.9,368.54,2.42,21.1
0.61985,47,28.97,1,0.55,5.48,52.1,5.4999,22,553.0,15.7,259.52,37.97,39.8
0.11466,15,29.1,1,0.49,6.19,80.6,7.2694,5,574.2,18.6,265.54,30.73,6.5
0.20905,36,4.46,1,0.44,6.37,65.2,6.2862,10,426.1,18.8,343.37,17.96,44.6
0.56388,65,27.4,0,0.57,8.86,48.8,2.6964,1,592.0,24.0,280.05,7.58,35.3
1.05695,94,29.35,0,0.67,6.48,44.2,2.1319,21,261.1,12.1,150.38,39.24,15.7
0.39228,42,7.7,0,0.59,7.63,37.9,4.6526,6,648.6,26.8,321.33,17.93,24.6
0.16613,0,22.23,0,0.53,5.35,97.0,5.4467,10,341.2,12.7,49.6,22.24,6.3
0.01535,83,5.26,0,0.59,6.8,91.5,1.7398,18,418.1,10.5,348.59,3.94,8.2
0.61952,6,14.16,1,0.62,6.56,33.4,5.821,16,199.7,18.1,203.66,11.9,29.8
0.00396,93,18.22,0,0.47,4.45,6.5,9.7094,22,121.0,25.5,218.33,11.23,15.2
0.23315,67,5.39,1,0.48,8.3,15.6,7.2838,20,155.1,17.0,369.07,6.42,13.1
0.37808,31,16.42,1,0.67,4.77,59.6,2.2831,22,101.3,27.0,273.07,35.87,47.6
1.27624,29,22.16,1,0.63,6.17,72.4,6.1262,8,562.4,23.3,31.27,8.56,34.4
0.04688,16,20.02,1,0.62,8.55,86.3,8.2398,17,555.8,24.2,101.16,2.2,6.9
0.26039,67,18.92,1,0.6,7.01,91.0,4.0929,12,350.1,20.3,284.31,39.45,18.3
0.01231,26,3.61,1,0.56,5.93,93.5,4.8604,7,465.2,21.8,37.25,37.64,13.2
0.20974,6,28.69,1,0.51,7.95,97.8,1.0203,7,190.0,13.3,104.52,29.19,48.1
0.48674,11,4.23,1,0.52,4.33,77.9,8.8259,12,606.7,27.7,105.47,33.82,18.8
0.16361,81,18.37,0,0.42,7.8,73.3,5.2316,18,472.6,18.5,283.08,7.09,32.4
0.1177,55,3.89,0,0.67,8.32,34.0,3.2819,13,311.4,18.8,20.65,4.12,28.4
